name,url,variant,regular_price,sale_price,scraped_at
VERVAIN,https://justingredients.co.uk/products/vervain?_pos=30&_sid=850c5f5b3&_ss=r,100g,£6.43,£4.82,2025-07-27T18:56:09.599495
VERVAIN,https://justingredients.co.uk/products/vervain?_pos=30&_sid=850c5f5b3&_ss=r,250g,£12.96,£12.96,2025-07-27T18:56:09.631188
VERVAIN,https://justingredients.co.uk/products/vervain?_pos=30&_sid=850c5f5b3&_ss=r,500g,£23.17,£23.17,2025-07-27T18:56:09.656313
WORMWOOD POWDER,https://justingredients.co.uk/products/wormwood-powder?_pos=31&_sid=850c5f5b3&_ss=r,100g,£9.13,£6.85,2025-07-27T18:56:11.955870
WORMWOOD POWDER,https://justingredients.co.uk/products/wormwood-powder?_pos=31&_sid=850c5f5b3&_ss=r,250g,£19.12,£19.12,2025-07-27T18:56:11.981178
WORMWOOD POWDER,https://justingredients.co.uk/products/wormwood-powder?_pos=31&_sid=850c5f5b3&_ss=r,500g,£34.52,£34.52,2025-07-27T18:56:12.007033
WORMWOOD POWDER,https://justingredients.co.uk/products/wormwood-powder?_pos=31&_sid=850c5f5b3&_ss=r,1kg,£61.84,£61.84,2025-07-27T18:56:12.032020
SAGE GROUND,https://justingredients.co.uk/products/sage-ground?_pos=32&_sid=850c5f5b3&_ss=r,100g,£3.06,£2.30,2025-07-27T18:56:14.500186
SAGE GROUND,https://justingredients.co.uk/products/sage-ground?_pos=32&_sid=850c5f5b3&_ss=r,250g,£4.52,£4.52,2025-07-27T18:56:14.534271
SAGE GROUND,https://justingredients.co.uk/products/sage-ground?_pos=32&_sid=850c5f5b3&_ss=r,500g,£7.86,£7.86,2025-07-27T18:56:14.560755
SAGE GROUND,https://justingredients.co.uk/products/sage-ground?_pos=32&_sid=850c5f5b3&_ss=r,1kg,£13.57,£13.57,2025-07-27T18:56:14.587823
VALERIAN ROOT,https://justingredients.co.uk/products/valerian-root?_pos=33&_sid=850c5f5b3&_ss=r,100g,£7.86,£5.89,2025-07-27T18:56:17.149265
VALERIAN ROOT,https://justingredients.co.uk/products/valerian-root?_pos=33&_sid=850c5f5b3&_ss=r,250g,£16.21,£16.21,2025-07-27T18:56:17.176297
VALERIAN ROOT,https://justingredients.co.uk/products/valerian-root?_pos=33&_sid=850c5f5b3&_ss=r,500g,£29.15,£29.15,2025-07-27T18:56:17.201903
VALERIAN ROOT,https://justingredients.co.uk/products/valerian-root?_pos=33&_sid=850c5f5b3&_ss=r,1kg,£51.98,£51.98,2025-07-27T18:56:17.229142
ROSEMARY GROUND,https://justingredients.co.uk/products/rosemary-ground?_pos=34&_sid=850c5f5b3&_ss=r,100g,£3.06,£2.30,2025-07-27T18:56:19.586359
ROSEMARY GROUND,https://justingredients.co.uk/products/rosemary-ground?_pos=34&_sid=850c5f5b3&_ss=r,250g,£4.86,£4.86,2025-07-27T18:56:19.613484
ROSEMARY GROUND,https://justingredients.co.uk/products/rosemary-ground?_pos=34&_sid=850c5f5b3&_ss=r,500g,£8.49,£8.49,2025-07-27T18:56:19.640885
ROSEMARY GROUND,https://justingredients.co.uk/products/rosemary-ground?_pos=34&_sid=850c5f5b3&_ss=r,1kg,£14.74,£14.74,2025-07-27T18:56:19.665139
BARLEY GRASS POWDER,https://justingredients.co.uk/products/barleygrass-powder?_pos=35&_sid=850c5f5b3&_ss=r,500g,£28.84,£28.84,2025-07-27T18:56:22.045299
SAVOURY,https://justingredients.co.uk/products/savoury?_pos=36&_sid=850c5f5b3&_ss=r,100g,£5.01,£3.76,2025-07-27T18:56:24.595114
SAVOURY,https://justingredients.co.uk/products/savoury?_pos=36&_sid=850c5f5b3&_ss=r,250g,£10.24,£10.24,2025-07-27T18:56:24.621785
SAVOURY,https://justingredients.co.uk/products/savoury?_pos=36&_sid=850c5f5b3&_ss=r,500g,£18.34,£18.34,2025-07-27T18:56:24.649585
SAVOURY,https://justingredients.co.uk/products/savoury?_pos=36&_sid=850c5f5b3&_ss=r,1kg,£32.54,£32.54,2025-07-27T18:56:24.678934
ST. JOHNS WORT,https://justingredients.co.uk/products/st-johns-wort?_pos=37&_sid=850c5f5b3&_ss=r,250g,£20.58,£20.58,2025-07-27T18:56:27.537357
ST. JOHNS WORT,https://justingredients.co.uk/products/st-johns-wort?_pos=37&_sid=850c5f5b3&_ss=r,500g,£37.20,£37.20,2025-07-27T18:56:27.569851
ST. JOHNS WORT,https://justingredients.co.uk/products/st-johns-wort?_pos=37&_sid=850c5f5b3&_ss=r,1kg,£66.72,£66.72,2025-07-27T18:56:27.598388
WHEAT GRASS POWDER,https://justingredients.co.uk/products/wheat-grass-powder?_pos=38&_sid=850c5f5b3&_ss=r,100g,£8.56,£6.42,2025-07-27T18:56:29.881526
STEVIA POWDER,https://justingredients.co.uk/products/stevia-powder?_pos=39&_sid=850c5f5b3&_ss=r,100g,£9.13,£9.13,2025-07-27T18:56:32.194564
STEVIA POWDER,https://justingredients.co.uk/products/stevia-powder?_pos=39&_sid=850c5f5b3&_ss=r,250g,£26.03,£26.03,2025-07-27T18:56:32.220587
STEVIA POWDER,https://justingredients.co.uk/products/stevia-powder?_pos=39&_sid=850c5f5b3&_ss=r,500g,£47.26,£47.26,2025-07-27T18:56:32.245299
STEVIA POWDER,https://justingredients.co.uk/products/stevia-powder?_pos=39&_sid=850c5f5b3&_ss=r,1kg,£85.10,£85.10,2025-07-27T18:56:32.270812
TACO SEASONING,https://justingredients.co.uk/products/taco-seasoning?_pos=40&_sid=850c5f5b3&_ss=r,250g,£6.99,£6.99,2025-07-27T18:56:34.945123
TACO SEASONING,https://justingredients.co.uk/products/taco-seasoning?_pos=40&_sid=850c5f5b3&_ss=r,1kg,£21.64,£21.64,2025-07-27T18:56:34.971404
THYME GROUND,https://justingredients.co.uk/products/thyme-ground?_pos=41&_sid=850c5f5b3&_ss=r,100g,£3.57,£2.68,2025-07-27T18:56:37.315790
THYME GROUND,https://justingredients.co.uk/products/thyme-ground?_pos=41&_sid=850c5f5b3&_ss=r,250g,£7.01,£7.01,2025-07-27T18:56:37.343920
THYME GROUND,https://justingredients.co.uk/products/thyme-ground?_pos=41&_sid=850c5f5b3&_ss=r,500g,£12.52,£12.52,2025-07-27T18:56:37.372675
THYME GROUND,https://justingredients.co.uk/products/thyme-ground?_pos=41&_sid=850c5f5b3&_ss=r,1kg,£22.21,£22.21,2025-07-27T18:56:37.398144
CATNIP,https://justingredients.co.uk/products/catnip?_pos=42&_sid=850c5f5b3&_ss=r,100g,£8.87,£6.65,2025-07-27T18:56:39.736968
CATNIP,https://justingredients.co.uk/products/catnip?_pos=42&_sid=850c5f5b3&_ss=r,250g,£18.53,£18.53,2025-07-27T18:56:39.761371
CATNIP,https://justingredients.co.uk/products/catnip?_pos=42&_sid=850c5f5b3&_ss=r,500g,£33.40,£33.40,2025-07-27T18:56:39.785424
VALERIAN ROOT POWDER,https://justingredients.co.uk/products/valerian-root-powder?_pos=43&_sid=850c5f5b3&_ss=r,1kg,£96.10,£96.10,2025-07-27T18:56:42.169611
THYME,https://justingredients.co.uk/products/thyme?_pos=44&_sid=850c5f5b3&_ss=r,100g,£3.06,£2.30,2025-07-27T18:56:44.559381
THYME,https://justingredients.co.uk/products/thyme?_pos=44&_sid=850c5f5b3&_ss=r,250g,£5.13,£5.13,2025-07-27T18:56:44.583504
THYME,https://justingredients.co.uk/products/thyme?_pos=44&_sid=850c5f5b3&_ss=r,500g,£9.02,£9.02,2025-07-27T18:56:44.609777
THYME,https://justingredients.co.uk/products/thyme?_pos=44&_sid=850c5f5b3&_ss=r,1kg,£15.70,£15.70,2025-07-27T18:56:44.634998
BAYLEAVES CUT,https://justingredients.co.uk/products/bayleaves-cut?_pos=45&_sid=850c5f5b3&_ss=r,100g,£4.42,£3.32,2025-07-27T18:56:46.947260
BAYLEAVES CUT,https://justingredients.co.uk/products/bayleaves-cut?_pos=45&_sid=850c5f5b3&_ss=r,250g,£8.93,£8.93,2025-07-27T18:56:46.971920
BAYLEAVES CUT,https://justingredients.co.uk/products/bayleaves-cut?_pos=45&_sid=850c5f5b3&_ss=r,500g,£15.93,£15.93,2025-07-27T18:56:46.997405
BAYLEAVES CUT,https://justingredients.co.uk/products/bayleaves-cut?_pos=45&_sid=850c5f5b3&_ss=r,1kg,£28.15,£28.15,2025-07-27T18:56:47.023046
ORGANIC THYME GROUND,https://justingredients.co.uk/products/organic-thyme-ground?_pos=46&_sid=850c5f5b3&_ss=r,250g,£11.81,£11.81,2025-07-27T18:56:49.321841
ORGANIC THYME GROUND,https://justingredients.co.uk/products/organic-thyme-ground?_pos=46&_sid=850c5f5b3&_ss=r,500g,£21.16,£21.16,2025-07-27T18:56:49.346523
ORGANIC THYME GROUND,https://justingredients.co.uk/products/organic-thyme-ground?_pos=46&_sid=850c5f5b3&_ss=r,1kg,£37.62,£37.62,2025-07-27T18:56:49.371737
BOLDO LEAVES,https://justingredients.co.uk/products/boldo-leaves?_pos=47&_sid=850c5f5b3&_ss=r,250g,£19.36,£19.36,2025-07-27T18:56:51.771893
BOLDO LEAVES,https://justingredients.co.uk/products/boldo-leaves?_pos=47&_sid=850c5f5b3&_ss=r,500g,£34.92,£34.92,2025-07-27T18:56:51.802992
ASHWAGANDHA ROOT CUT,https://justingredients.co.uk/products/ashwagandha-root-cut?_pos=48&_sid=850c5f5b3&_ss=r,100g,£9.84,£9.84,2025-07-27T18:56:54.255848
ASHWAGANDHA ROOT CUT,https://justingredients.co.uk/products/ashwagandha-root-cut?_pos=48&_sid=850c5f5b3&_ss=r,250g,£28.09,£28.09,2025-07-27T18:56:54.279840
ASHWAGANDHA ROOT CUT,https://justingredients.co.uk/products/ashwagandha-root-cut?_pos=48&_sid=850c5f5b3&_ss=r,500g,£51.07,£51.07,2025-07-27T18:56:54.306097
ASHWAGANDHA ROOT CUT,https://justingredients.co.uk/products/ashwagandha-root-cut?_pos=48&_sid=850c5f5b3&_ss=r,1kg,£92.10,£92.10,2025-07-27T18:56:54.334763
BALTI CURRY POWDER,https://justingredients.co.uk/products/balti-curry-powder?_pos=49&_sid=850c5f5b3&_ss=r,100g,£4.12,£3.09,2025-07-27T18:56:56.743378
BALTI CURRY POWDER,https://justingredients.co.uk/products/balti-curry-powder?_pos=49&_sid=850c5f5b3&_ss=r,250g,£8.26,£8.26,2025-07-27T18:56:56.767696
BALTI CURRY POWDER,https://justingredients.co.uk/products/balti-curry-powder?_pos=49&_sid=850c5f5b3&_ss=r,500g,£14.69,£14.69,2025-07-27T18:56:56.791779
MARSHMALLOW LEAVES,https://justingredients.co.uk/products/marshmallow-leaves?_pos=50&_sid=850c5f5b3&_ss=r,100g,£5.38,£4.04,2025-07-27T18:56:59.346172
MARSHMALLOW LEAVES,https://justingredients.co.uk/products/marshmallow-leaves?_pos=50&_sid=850c5f5b3&_ss=r,250g,£10.86,£10.86,2025-07-27T18:56:59.373498
CHIVES,https://justingredients.co.uk/products/chives?_pos=51&_sid=850c5f5b3&_ss=r,100g,£6.04,£4.53,2025-07-27T18:57:01.777197
CHIVES,https://justingredients.co.uk/products/chives?_pos=51&_sid=850c5f5b3&_ss=r,250g,£12.57,£12.57,2025-07-27T18:57:01.803641
CHIVES,https://justingredients.co.uk/products/chives?_pos=51&_sid=850c5f5b3&_ss=r,500g,£22.59,£22.59,2025-07-27T18:57:01.829266
CHIVES,https://justingredients.co.uk/products/chives?_pos=51&_sid=850c5f5b3&_ss=r,1kg,£40.31,£40.31,2025-07-27T18:57:01.854075
ASHWAGANDHA ROOT POWDER,https://justingredients.co.uk/products/ashwagandha-root-powder?_pos=52&_sid=850c5f5b3&_ss=r,100g,£16.13,£12.10,2025-07-27T18:57:04.156543
